match_id,r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,duration,rank,r_win
5743388105,97,128,34,113,83,104,5,86,41,74,1187,38,1
5743388218,72,33,85,36,67,99,79,8,73,9,1419,52,0
5743388305,93,96,11,26,84,86,129,9,46,1,1260,57,1
5743388616,101,30,64,42,8,56,17,44,26,51,1494,45,1
5743389709,14,52,42,103,12,84,10,81,71,100,1312,43,0
5743389711,55,84,44,9,47,102,31,41,21,128,1577,59,1
5743390606,107,80,10,47,5,51,31,96,52,6,1126,78,1
5743391018,43,89,62,20,15,57,98,32,25,36,1470,73,0
5743391118,100,21,14,41,47,11,67,29,86,79,1324,53,1
5743391913,98,32,95,99,49,128,2,40,16,106,1469,25,1
5743392808,26,93,85,45,47,71,120,9,37,18,1031,49,1
5743395816,18,129,14,97,126,96,39,74,1,26,1014,57,1
5743396313,126,31,18,53,103,74,22,70,75,111,1201,46,1
5743399307,14,1,25,30,35,19,43,27,63,97,1040,38,1
5743380607,96,47,67,69,25,86,21,100,73,114,1747,80,0
5743380608,103,51,12,21,4,2,52,5,7,10,1686,53,0
5743380805,25,84,8,108,19,86,33,11,47,6,1914,35,1
5743380807,5,11,1,95,57,10,111,49,128,44,1798,43,1
5743380808,93,7,29,21,54,70,98,64,63,25,1553,42,1
5743380815,19,104,47,14,11,95,41,86,106,31,1791,28,1
5743380913,53,114,11,18,126,56,88,14,54,1,1758,13,1
5743381000,44,12,75,30,104,22,41,85,120,93,1939,22,0
5743381001,129,84,73,85,12,126,16,86,26,8,1892,51,1
5743381002,44,26,94,102,75,6,20,47,105,14,1878,57,0
5743381100,67,29,22,83,32,27,62,126,44,28,1785,51,0
5743381114,47,35,41,8,14,48,26,69,52,21,1904,42,1
5743381301,75,77,101,67,9,18,84,21,41,63,1789,42,1
5743381501,86,10,97,41,22,104,13,68,76,23,1898,64,1
5743381515,57,97,12,107,8,45,27,75,73,98,1630,24,0
5743381607,112,65,3,93,71,19,10,98,25,68,1639,71,0
5743381616,12,56,5,48,7,77,99,68,63,8,1627,23,1
5743381703,64,6,68,12,104,59,25,34,44,8,1741,15,1
5743381717,75,39,120,7,67,26,6,33,93,42,1403,41,0
5743381719,95,98,5,93,105,3,8,30,14,85,1789,23,1
5743381809,9,21,8,67,84,99,25,22,42,86,1394,49,1
5743381908,129,128,2,1,22,75,20,48,51,62,1825,32,0
5743382017,75,40,63,61,36,21,8,37,99,86,1546,44,1
5743382019,60,67,120,26,53,128,7,54,70,27,1682,32,0
5743382109,106,109,14,26,80,32,90,99,113,64,1633,33,0
5743382304,22,42,39,21,54,69,46,51,41,86,1953,52,1
5743382616,96,105,25,10,114,54,14,29,27,39,1681,24,1
5743382619,39,30,7,104,28,90,84,8,22,42,1879,36,0
5743382700,18,30,74,36,128,93,44,27,81,103,1628,34,1
5743382703,32,48,61,15,10,12,18,103,50,47,1805,21,1
5743382803,11,119,42,67,101,9,56,10,31,99,1606,28,1
5743382807,8,14,37,6,128,44,31,39,126,47,1814,44,1
5743382903,35,49,5,23,18,120,1,11,64,84,1910,42,1
5743382912,8,42,22,83,14,128,80,74,41,100,1678,20,0
5743382916,25,13,121,54,19,86,126,1,37,47,1892,47,0
5743383006,54,19,65,18,114,119,48,113,37,73,1572,42,1
5743383016,52,21,91,27,18,81,106,121,67,85,1256,80,1
5743383117,107,6,21,85,101,56,87,60,8,71,1518,63,1
5743383203,85,28,10,23,7,109,86,81,11,50,1759,44,1
5743383415,64,107,2,14,44,108,18,3,106,26,1706,35,1
5743383512,27,47,71,35,23,28,26,59,105,95,1785,14,1
5743383516,18,36,5,97,39,41,71,29,94,25,1641,27,0
5743383600,128,74,25,41,129,93,2,110,35,87,1819,30,1
5743383601,21,22,128,18,27,52,108,56,103,87,1918,57,0
5743383608,50,21,97,104,8,106,44,60,126,32,1671,43,1
5743383612,25,47,5,32,97,37,13,30,41,96,1598,46,1
5743383703,48,84,5,56,75,42,43,2,36,44,1517,23,1
5743383706,17,67,84,104,107,27,39,22,8,7,1853,57,0
5743383818,8,72,44,87,37,74,62,20,10,33,1430,22,0
5743384314,25,67,56,21,105,35,22,9,54,71,1738,32,1
5743384509,27,10,95,4,112,17,51,129,101,44,1858,62,1
5743384510,110,3,88,109,81,2,52,9,84,48,1640,42,0
5743384516,97,84,106,30,44,6,22,42,71,91,1352,44,1
5743385105,102,11,89,86,114,14,91,80,16,93,1498,51,0
5743385111,84,64,76,93,62,110,16,9,18,88,1619,51,1
5743385204,86,11,44,7,16,3,8,96,10,100,1842,54,1
5743385505,35,71,28,8,27,80,41,104,30,75,1535,21,1
5743385602,110,126,27,8,120,5,14,63,106,4,1540,40,1
5743385612,63,59,16,49,48,53,89,71,98,73,1625,17,1
5743385619,8,113,64,110,52,26,14,109,29,74,1219,54,1
5743385813,91,11,93,52,120,2,31,86,13,18,1626,69,0
5743386512,44,29,50,75,84,129,79,41,9,11,1654,40,1
5743386603,10,21,94,7,26,87,22,44,100,63,1547,35,1
5743386605,129,101,45,8,71,44,84,39,2,86,1558,71,1
5743387008,17,41,36,26,128,35,50,63,93,28,1556,57,1
5743387401,114,21,22,97,73,18,126,48,61,79,1684,47,0
5743387411,44,77,84,25,14,6,87,129,9,73,1655,38,1
5743387601,50,95,104,40,46,126,45,8,14,28,1356,73,1
5743387718,5,52,8,68,104,46,74,107,85,18,1532,74,1
5743388006,23,52,111,85,1,56,128,17,5,53,1282,47,1
5743389914,60,84,67,85,17,62,6,52,26,129,1649,44,1
5743392912,47,42,25,128,14,56,11,91,2,37,1476,53,1
5743405114,85,8,84,74,5,1,14,46,25,104,954,38,0
5743382116,40,30,8,36,14,119,37,21,53,114,1972,32,1
5743382300,81,21,20,87,67,41,16,37,85,52,2034,53,1
5743382301,128,62,18,26,74,43,114,68,31,60,1970,53,0
5743382418,94,14,40,111,88,68,75,93,5,51,2018,43,1
5743382704,104,25,76,103,94,87,41,49,119,19,2001,56,1
5743382904,112,21,46,18,71,26,6,87,1,98,1992,40,1
5743382914,71,62,119,90,11,114,85,41,128,104,1897,29,1
5743383008,70,113,9,5,28,6,14,20,33,35,1791,44,1
5743383611,41,28,30,112,23,100,19,86,69,67,1945,32,0
5743383716,2,10,86,119,84,16,59,9,21,73,1911,21,1
5743383817,18,91,87,84,42,23,112,10,128,14,1950,39,0
5743385512,16,47,11,8,64,10,40,114,7,39,1887,37,1
5743385809,64,9,7,74,100,31,97,5,59,44,1830,44,0
5743386513,14,97,112,106,114,35,101,1,69,26,1728,44,1
5743387108,74,12,33,30,129,79,48,44,43,14,1790,13,0
5743387215,36,74,72,31,128,26,52,90,129,8,1706,66,0
5743387508,95,91,11,72,97,54,94,68,90,14,1687,48,1
5743387712,126,21,11,5,54,18,63,119,72,106,1749,47,1
5743388407,38,14,114,11,29,85,25,98,26,44,1698,45,1
5743389206,27,49,39,30,41,88,104,114,111,126,1674,47,0
5743390016,76,84,1,105,68,14,60,36,18,86,1586,18,0
5743390502,30,44,3,56,2,1,8,106,57,62,1615,14,1
5743390613,7,15,98,67,87,64,74,56,23,41,1625,53,1
5743391505,20,64,22,6,18,87,4,7,56,14,1567,47,1
5743391910,51,35,64,57,41,18,19,10,100,56,1583,35,1
5743392209,31,6,25,5,73,54,103,17,86,7,1586,44,1
5743394015,84,9,70,120,52,75,8,108,22,11,1492,52,1
5743395308,102,26,59,47,6,41,84,93,76,88,1446,23,1
5743383613,104,7,42,25,53,39,93,64,6,40,1991,30,0
5743384001,95,105,86,113,120,11,51,8,98,50,1996,60,1
5743384010,27,2,26,93,104,32,54,84,25,81,2028,51,0
5743384412,14,44,19,47,97,80,42,21,5,18,1998,50,0
5743384518,7,99,20,52,6,110,21,100,10,129,2028,79,0
5743385104,88,17,67,42,30,44,25,101,71,36,1929,64,0
5743386811,71,6,102,17,110,14,40,72,46,37,1911,14,1
5743387605,8,32,57,50,39,51,42,35,41,114,1716,39,1
5743387701,25,30,29,17,8,4,93,110,86,74,1882,44,0
5743389418,6,56,2,37,86,9,70,25,83,104,1772,39,1
5743389805,49,9,107,10,126,85,88,106,47,1,1748,54,1
5743389816,8,16,84,47,87,88,17,9,1,69,1762,23,1
5743389913,22,83,82,18,129,69,54,103,39,14,1736,71,0
5743390507,60,1,11,10,27,87,85,128,67,69,1718,53,1
5743391002,84,43,44,28,87,21,17,67,62,45,1677,48,0
5743391111,104,14,22,42,62,27,11,99,18,7,1647,39,0
5743391715,57,9,80,93,129,98,50,18,60,39,1681,47,0
5743392206,16,9,67,65,105,53,44,104,62,87,1661,61,1
5743393600,29,62,85,74,105,10,56,20,48,97,1599,34,1
5743396103,8,97,81,22,25,60,52,7,18,64,1433,78,1
