match_id,r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,duration,rank,r_win
5743362313,48,4,71,76,58,62,11,41,64,27,1161,56,1
5743362111,8,11,14,25,59,85,10,44,34,50,1141,32,0
5743360211,81,21,9,97,57,5,1,129,45,84,1145,71,1
5743359912,74,105,10,81,26,44,107,57,19,47,1156,80,0
5743356216,47,19,75,12,100,9,83,66,44,10,1047,72,1
5743356212,11,60,32,87,44,9,21,42,84,69,1386,41,1
5743355819,26,39,99,27,14,102,13,46,38,52,1163,44,1
5743355502,108,30,70,86,18,26,16,22,113,85,1148,52,0
5743354519,56,78,128,32,14,6,39,22,81,85,1401,42,0
5743354213,98,86,18,9,64,58,8,74,66,97,1318,66,1
5743353815,46,75,41,128,28,67,111,9,21,10,1335,47,1
5743353603,14,56,66,67,45,62,49,93,87,55,1486,37,1
5743352912,47,26,95,67,28,42,56,35,104,71,1602,22,0
5743352401,52,101,84,70,74,18,10,85,25,29,1577,60,0
5743352307,62,56,84,129,1,121,57,32,27,99,1517,41,1
5743351012,1,5,28,35,119,66,54,31,2,41,1621,61,1
5743351011,59,16,30,14,42,67,17,50,69,104,1367,35,1
5743350503,60,1,68,129,106,110,41,87,7,75,1130,53,1
5743350417,101,11,113,104,121,114,129,36,87,73,1492,59,1
5743349701,47,60,17,44,99,26,9,7,21,70,1404,36,0
5743349507,81,26,109,40,22,17,2,84,85,10,1541,74,1
5743349506,7,93,40,50,52,97,35,41,104,14,1607,53,1
5743349101,81,50,7,26,6,13,87,89,99,16,1687,37,1
5743349100,91,105,82,18,2,35,99,41,13,50,1531,33,1
5743348511,102,44,59,107,69,42,75,46,9,19,1789,59,0
5743348202,6,32,19,108,87,31,41,23,71,27,1505,78,1
5743348103,44,61,85,101,84,34,6,96,111,86,1674,52,0
5743347917,86,6,81,20,126,23,72,5,29,99,1522,54,1
5743347903,27,83,28,37,44,105,22,101,67,104,1735,50,1
5743347809,65,104,71,56,8,81,67,22,21,45,1751,41,1
5743347802,8,25,46,68,2,99,6,14,20,35,955,35,1
5743347712,41,59,62,87,21,27,44,22,51,75,1119,52,1
5743347705,63,74,5,104,26,33,8,62,14,10,1761,25,1
5743347609,71,44,75,21,48,74,84,8,104,17,1715,36,1
5743347517,88,41,111,14,49,18,40,32,97,74,1652,50,1
5743347514,37,97,95,84,22,126,128,31,2,67,1335,62,0
5743347415,86,40,2,11,8,54,4,64,126,21,1840,47,1
5743347212,27,60,41,94,75,26,18,74,103,109,1828,31,0
5743346813,11,105,50,95,45,6,71,4,113,20,1392,23,0
5743346615,12,74,19,126,54,25,2,111,6,52,1516,79,0
5743346507,13,30,82,81,96,8,35,84,63,2,1628,32,0
5743346413,21,54,128,25,74,86,38,82,5,18,1758,73,0
5743346118,1,11,107,29,20,87,2,44,26,61,1142,51,0
5743346008,22,13,60,95,102,71,88,4,56,77,1139,43,0
5743345915,30,56,61,81,74,68,50,47,8,25,1124,23,1
5743345913,1,84,2,34,107,47,106,54,26,111,1706,39,0
5743345705,26,44,22,31,104,8,51,14,112,49,1561,36,0
5743345701,9,113,14,48,129,21,57,47,8,97,1507,46,1
5743345616,106,100,21,18,51,80,56,70,35,84,1873,54,0
5743345319,114,86,10,108,101,121,32,85,54,14,1585,43,1
5743345318,5,59,100,16,18,26,97,94,41,101,1576,49,1
5743345105,19,25,64,39,41,23,86,60,22,56,1903,65,1
5743345012,44,102,26,99,107,41,7,95,14,83,1933,27,0
5743345007,94,81,22,50,74,52,18,30,109,121,1942,42,1
5743344914,97,67,87,19,60,28,41,68,113,111,1595,74,0
5743344913,52,88,10,16,5,26,108,76,101,44,1824,58,1
5743344910,28,25,14,56,75,86,45,58,29,94,1904,23,1
5743344810,43,59,84,41,21,45,14,56,25,7,1725,26,0
5743344802,64,42,61,73,21,67,74,9,88,11,1841,51,1
